,uuid,substance,number,INCI
6716,50fb55ec-4df6-4d1b-92b2-530f5df37d3b,Trisodium orthophosphate,231-509-8,
6717,b3880092-d4fe-403e-a473-1ccb54b9937c,Sodium perchlorate,231-511-9,
6718,3df2d10b-d7ae-418f-adb4-a467867bd396,Perchloric acid,231-512-4,
6720,dc4145cb-1fdc-4923-8e6a-023d919ce5a0,Perchloryl fluoride,231-526-0,
6721,ee4abba2-ae8d-4716-858c-826fff2c0200,Lithium 12-hydroxystearate,231-536-5,
6722,1357d742-8d52-4483-b625-9069b2adae1c,2-chloropropionyl chloride,231-540-7,
6723,cea0d500-d9b2-49ad-8f19-1eac4f804f72,Silicon dioxide,231-545-4,
6724,6ab8368b-61c2-44a0-9b7c-47faa5bf3d07,Sodium hydrogensulfite,231-548-0,
6725,ce1041b1-6b87-446c-8da9-e2a53d74f173,Disodium molybdate,231-551-7,
6727,7e9e034f-8cba-4559-ac20-f55451f324ee,Sodium nitrate,231-554-3,
6729,09a86335-3e79-4dd5-84e2-7f55413f6034,Sodium nitrite,231-555-9,
6733,b53a2f05-291a-4450-89eb-b63df947717b,"N,α-dimethylphenethylamine",231-559-0,
6734,b4a2abdd-259b-48e4-845d-f36064372386,Vanadium tetrachloride,231-561-1,
6735,82a5edd5-ba5e-4338-a96e-498951c8f214,Boron trifluoride,231-569-5,
6737,6fe5f92e-d7b0-40f0-b476-38784dfe0b63,2-(methylthio)-10H-phenothiazine,231-581-0,
6738,0f09dd79-760f-43de-a37d-d4ce4228be7c,Sodium hydride,231-587-3,
6740,11c286ac-7531-4a86-9f61-4155d89c5ed9,Tin tetrachloride,231-588-9,
6742,30c6b382-6eda-4073-b00f-1b6c576f587b,Cobalt dichloride,231-589-4,
6743,f77f34c5-e2c8-411a-a22e-279bc6cdda80,Zinc chloride,231-592-0,Zinc Chloride
6746,00bc6d90-b3ff-4658-a588-07325032e020,Potassium hydrogensulphate,231-594-1,
6748,1479f3f5-2b0e-42cc-8084-fdfd3c6a1c67,Hydrogen chloride,231-595-7,
6751,271d43d4-70f8-48f0-8fe8-b37d162d53e7,Palladium dichloride,231-596-2,
6752,81411bc5-2dd5-44aa-a3ea-f18a43a83530,Sodium chloride,231-598-3,
6753,2456296d-57da-4401-ad72-ed134aed8ad5,Sodium bromide,231-599-9,
6756,814b0661-86e6-4d86-bd08-6438fa22053d,Caesium chloride,231-600-2,
6757,26270941-2789-41c7-a398-5ae3f4a77051,Antimony pentachloride,231-601-8,
6759,86cd9644-0471-41ef-be53-ee4a56261ba4,N-[3-(dimethylamino)propyl]stearamide,231-609-1,
6760,bc8efa92-abdc-4b2c-98cf-34a50e17271c,"1,1'-(1,3-phenylenedicarbonyl)bis[2-methylaziridine]",231-617-5,
6761,df763393-db18-4201-80e2-47dd72f02d2f,2-ethylhexyl mercaptoacetate,231-626-4,
6762,02d595f9-a873-4150-bf29-01860ffc674e,Orthophosphoric acid,231-633-2,Phosphoric Acid
6764,783be1ff-3a08-456d-b3a5-9900912beaa8,Hydrogen fluoride,231-634-8,
6766,8ab1b009-ceea-4779-a7c3-55e11c80551f,"Ammonia, anhydrous",231-635-3,Ammonia
6768,c4a8a1eb-4e57-491c-a9fc-5a62d1435084,Sulphuric acid,231-639-5,
6770,6b7b2b51-6e02-4a66-bcc9-8514065bd185,(tert-butoxymethyl)oxirane,231-640-0,
6771,288a9e63-fb93-4977-aca0-c28fb0a0e9bd,o-nitrobenzenesulphenyl chloride,231-644-2,
6772,af81262d-0c4d-4b61-adfc-3fbd6e371ef5,Trimethylsilylcarbonitrile,231-657-3,
6773,2fc1bdb9-9e1d-4ba9-bea4-dfe4828a0862,1-methylpyridinium chloride,231-658-9,
6774,25b3c07b-fd75-4632-8ec5-b498ae9d5294,Potassium iodide,231-659-4,
6777,bc16eb4a-aa5b-4521-9c13-01b66f9ecbaa,Sodium hydrogensulphate,231-665-7,
6778,8c85372d-0f18-4c26-be9e-44d524828b7b,Sodium fluoride,231-667-8,
6780,f1f0b5d8-3e7b-48ef-ab51-093befacbc34,Sodium hypochlorite,231-668-3,
6782,1c4f37e4-c13e-4dc4-bd85-6a6bc948251c,Sodium phosphinate,231-669-9,
6783,3590319c-94c2-4398-aace-cae9c4b03b43,Sodium iodate,231-672-5,Sodium Iodate
6784,211ac47e-9482-459e-9b62-ed90287a4c3e,Disodium disulphite,231-673-0,
6786,c9c425e9-d20c-4b7c-8fb1-a5cdb5c19a2e,Copper iodide,231-674-6,
6787,9a0b1e51-7101-4869-bc62-a33378ffcd9e,Sodium iodide,231-679-3,
6790,68021748-5954-4133-904f-48c60369dc2b,"N-(dimethylvinylsilyl)-1,1-dimethyl-1-vinylsilylamine",231-701-1,
6791,0e01a75a-08a5-411c-9270-88a0b4c92de1,4-nitrophenyl chloroformate,231-706-9,
6792,0aa9da58-cced-45f2-aa27-f438d9244acd,"3,4-dihydro-2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-2H-benzopyran-6-yl acetate",231-710-0,
6793,1a74f6a3-1199-488c-bc21-8d00828e9620,Nitric acid,231-714-2,
6796,3dce3097-472f-443f-9efb-4d2080bcf7bf,Zirconium dichloride oxide,231-717-9,
6797,9495541f-cc6e-475b-ab7f-ab3e3cd6bdaa,Zinc bromide,231-718-4,
6798,b6503507-2669-430e-9606-6b71967d31b7,Sulfur,231-722-6,
6799,2191a53e-8444-4c8b-83c6-69815ca72d17,Erythromycin thiocyanate,231-723-1,
6800,d43a2125-cfe5-4b01-a55f-b9a6af7f2a2f,Titanium dihydride,231-726-8,
6801,95ce6300-3c24-4727-800d-c336d118071c,Zirconium dihydride,231-727-3,
6802,3218df9e-ce94-4a15-ae08-9a0e2ff6191a,Titanium trichloride,231-728-9,
6805,7e67a91a-890e-4a0e-a5f7-1df39effc9c5,Iron trichloride,231-729-4,
6806,506e85dc-b4da-4b97-a579-d129926d19eb,Nickel dichloride,231-743-0,
6808,d3006179-52da-476a-9926-9a3de1719360,Vanadium trichloride,231-744-6,
6809,44a76a92-fa74-4dbf-b729-5c15fcbbf93a,Thionyl dichloride,231-748-8,
6813,58d42f18-f724-4a79-b595-9d373c11e9ad,Phosphorus trichloride,231-749-3,
6814,c7d3b919-4541-462e-8c4f-c3013a225668,Iron sulphate,231-753-5,
6815,73176581-5738-44e8-84f4-94cc5b062e61,Tantalum pentachloride,231-755-6,
6816,03b118d7-a8a9-459d-852c-efc0efd49e53,Potassium permanganate,231-760-3,
6818,8c851e97-f863-476e-88b8-3ad19e157f07,Ammonium dihydrogenorthophosphate,231-764-5,
6820,040873e4-bba7-4c88-a533-e017ef8f65ba,Hydrogen peroxide,231-765-0,Hydrogen Peroxide
6822,5184a0a4-1154-4c5e-9154-dcb7fc8ec8b9,Tetrasodium pyrophosphate,231-767-1,Tetrasodium Pyrophosphate
6823,6c682c6c-ca6b-406a-9f3c-0923597ea22b,Phosphorus,231-768-7,
6825,53655522-3ff0-4097-a643-53f262b2eee7,Bromine,231-778-1,
6827,03bcc879-53fb-4981-b892-08febc757aea,Vanadium trichloride oxide,231-780-2,
6828,4164cffe-d5f5-4985-b150-4331c2a74bec,Dipotassium peroxodisulphate,231-781-8,
6829,08b1909a-7a8c-47c7-b438-33a20d59aef1,Barium sulfate,231-784-4,Barium Sulfate
6830,febcfb31-261f-4b7b-b117-464ac5efd935,Diammonium peroxodisulphate,231-786-5,
6831,a83e3d7f-2fc0-4f85-bebd-551b8cb28c3f,Zinc sulphate,231-793-3,
6833,3a8e22ee-02e2-4765-b1ea-50affa328679,3-bromo-p-toluidine,231-807-8,
6834,116ff12e-f472-4ee1-ae3c-d8fc772ceb47,2-bromo-4-nitrotoluene,231-809-9,Toluene
6835,aad949ae-5df3-4f58-a8e2-744b791a5e1c,"7a-ethyldihydro-1H,3H,5H-oxazolo[3,4-c]oxazole",231-810-4,
6836,3cdddd04-eafc-44ef-b26a-e038ab022f5e,"17-α,21-dihydroxypregna-4,9(11)-diene-3,20-dione 21-acetate",231-812-5,
6837,b7472f2f-360a-42ef-bd91-7cd889bafab9,Butyl anthranilate,231-816-7,
6838,95a40f44-41aa-4656-b721-b37b919d8a57,Potassium nitrate,231-818-8,
6840,78ee9f33-0bf9-4cc9-9210-55f936dd538a,Sodium sulphate,231-820-9,
6842,3902bf47-5cde-48a3-a733-180ffde04e06,Sodium sulphite,231-821-4,
6844,7a77c6fe-8a01-4b03-aada-692652ea228c,Magnesium hydrogenorthophosphate,231-823-5,
6845,ebb9265d-b800-466a-b287-42c5dc2c2701,Trimagnesium bis(orthophosphate),231-824-0,
6846,70944acc-0433-46ae-a43d-caecb22978d0,Magnesium sulphite,231-825-6,
6847,86966fd3-f7a7-41ee-b5c3-af924574788b,Calcium hydrogenorthophosphate,231-826-1,
6848,704c9507-bf8f-4b8c-8ae6-8e1119250fe3,Potassium bromate,231-829-8,Potassium Bromate
6849,adebee0d-e160-469a-b8b3-56c7f292d80e,Potassium bromide,231-830-3,
6850,6e8fc343-0010-43d5-ad3a-08131b7a610f,Potassium iodate,231-831-9,
6851,940e5f4e-e35c-4942-b7ac-12a0fc44403e,Potassium nitrite,231-832-4,
6852,91642a85-844a-4ab3-9bed-a2cedf1f72c1,Dipotassium hydrogenorthophosphate,231-834-5,
6853,1c60372c-1daf-4177-8a13-c364efc6c9d8,Disodium dihydrogenpyrophosphate,231-835-0,
6854,7d1af02e-c224-4ecc-8bb2-7423aec1fa12,Sodium chlorite,231-836-6,
6856,f040ab7a-8d7a-4805-a8a4-6bf833d1390f,Calcium bis(dihydrogenorthophosphate),231-837-1,
6857,498544f2-cd33-4f8a-9957-e0d54af46b8e,Pentasodium triphosphate,231-838-7,Pentasodium Triphosphate
6858,c46a21cc-f44b-443c-a5bb-0e65ab1bc140,Tricalcium bis(orthophosphate),231-840-8,
6859,51ec9a2e-0916-4dff-9481-d074e2e29c72,Cerium trifluoride,231-841-3,
6860,5a8afa4d-89b4-47c8-a8e9-b581faff6454,Copper chloride,231-842-9,
6863,30d2a3ef-2a03-4b3d-8d72-268a8bbc07ef,Iron dichloride,231-843-4,
6864,b7b871eb-b030-450e-8fd7-d1a5912f8419,Lead dichloride,231-845-5,
6865,72a314a5-c65e-4164-af85-df0371d67ab2,Copper sulphate,231-847-6,
6867,c286e2fc-f511-4b3e-ba3a-5f079cc98c44,Strontium sulphate,231-850-2,
6868,4c89d5eb-c187-4d72-95b9-e64ce64656cf,Silver nitrate,231-853-9,
6870,15110151-6f08-4781-a05f-de709189c6ff,2-hydroxyphenethyl alcohol,231-863-3,Phenethyl Alcohol
6871,00e27c0c-8acb-4cf8-8e41-339ac099b274,Sodium thiosulphate,231-867-5,
6872,63a6b1d2-9aee-4682-97a5-8eead6586699,Tin dichloride,231-868-0,
6874,21b2077c-cd04-4931-a301-24297fa15c2e,Manganese dichloride,231-869-6,
6875,3ea3143e-0c64-4cbc-a616-e288c6814107,Potassium hydrogen sulphite,231-870-1,
6876,6f20bdc5-abe7-483b-beb3-7bef36c9b4da,Ammonium sulphamidate,231-871-7,
6878,ab752a5b-ec53-45b7-b8c0-6031bbb1e440,Thiophene-2-thiol,231-881-1,
6879,b6dc79c7-3efd-4498-a1cf-1c8b7f3bc35a,3-(p-cumenyl)propionaldehyde,231-885-3,
6880,8b80a941-11cd-46a2-9343-fd053776b561,Sodium chlorate,231-887-4,
6882,f2e82071-ae0f-43ae-b046-6c89d9a5bba4,Sodium chromate,231-889-5,
6883,a6371c3d-6beb-496a-a171-eafbb3887f70,Sodium dithionite,231-890-0,
6884,e37ff625-fafb-43a6-bdca-a5be107c7502,"Sodium metaborate, anhydrous",231-891-6,
6885,20c37639-f35b-456e-b4c5-e39087fea27c,Disodium peroxodisulphate,231-892-1,
6886,ee19b5c5-e5fa-4a5e-ab64-c2627c243ca9,Calcium sulfate,231-900-3,
6887,3902b609-56f3-4310-a281-a124454ee5f3,Arsenic acid,231-901-9,
6888,088bf011-844a-4da1-9691-8eeaef880daf,Calcium arsenate,231-904-5,
6889,69520661-e5c9-4d4d-a7a9-5bc5c644f1b9,Potassium dichromate,231-906-6,
6891,ece104f8-70f8-4a93-bae9-ffc9b81e662c,Tripotassium orthophosphate,231-907-1,
6892,1dfcc351-363a-402d-ac5f-64cebf8f1105,Calcium hypochlorite,231-908-7,
6893,2e12002c-d3a9-4e10-8cd7-e7ca52f44e64,Potassium perchlorate,231-912-9,
6895,0226d0d4-0666-4dc0-9c17-b612f674f577,Potassium dihydrogenorthophosphate,231-913-4,
6896,8d9610a5-7e35-4294-bf93-eb2372d34844,Potassium sulfate,231-915-5,
6897,56598a02-f414-4faa-b85c-62726730f291,"3,3,5-trimethylcyclohexyl methacrylate",231-927-0,Hexyl methacrylate
6898,637613e8-d0d8-48d5-820b-f6565ebf17b3,Zinc nitrate,231-943-8,Zinc Nitrate
6899,e1d3e977-4ed0-49fc-861b-0d67daaf4fde,Trizinc bis(orthophosphate),231-944-3,
6900,276e1a2d-388c-4c3c-b4ce-925854ec1601,Deuterium,231-952-7,
6901,3846c5c8-9c16-473c-89a9-75838d2d8833,Diamond,231-953-2,
6902,51d7a56b-4eaf-4e09-b049-e354d30bde01,Fluorine,231-954-8,
6904,57c049c7-8b08-45b5-a4b2-421584d2cd8b,Graphite,231-955-3,
6905,53514883-4569-478c-a8b9-d7d80d24e191,Selenium,231-957-4,
6907,120dac60-ab32-4c8c-ab06-0af4cc8b25b7,Chlorine,231-959-5,
6910,5ea3ad01-1331-4fcd-ba7f-54d9091419fa,Iodic acid,231-962-1,
6911,245ff525-0757-452b-b54b-22849da64959,Nitrosylsulphuric acid,231-964-2,
6912,bdc6a4a4-f419-45da-8a9b-b6c46bf74296,Potassium phosphinate,231-967-9,
6913,00b748cf-6acf-4ba2-9845-9fdb2b9504ba,Lithium amide,231-968-4,
6915,047e805e-7b02-4af5-9815-23c2c44a4efd,Molybdic acid,231-970-5,
6916,0a3d12a0-dbc0-4111-ae71-5ae3eb27ed21,Sodium amide,231-971-0,
6917,61e1a4b3-d52e-4b3b-b314-c9ad5e2511d1,Selenious acid,231-974-7,
6918,a2453a8c-1bfa-44e9-bcb2-7e0f94f7d581,Dihydrogen wolframate,231-975-2,
6919,a97e6d2e-53ad-4a81-908f-98c6e2a23b18,Hydrogen sulphide,231-977-3,
6921,0fe47bc8-a2af-43a8-9133-724038335bd4,Ammonium thiosulphate,231-982-0,
6922,bb78366f-536d-455f-bad8-a6c6cc6076ec,Ammonium sulphate,231-984-1,
6923,59aa0825-2a26-40d0-928f-ed9c46fb1926,Diammonium hydrogenorthophosphate,231-987-8,
6924,95f2afd7-854e-44a9-8b3d-5578eda9b98d,Mercury sulphate,231-992-5,
6925,e478add8-2af3-46fc-a260-dfb25894b5a9,Magnesium fluoride,231-995-1,
6926,0eabe9ed-eb74-4de5-9e3c-9aac160cdcbd,Tin difluoride,231-999-3,
6927,6e1350b5-6d86-4d09-9ad0-6f1827cfb68b,Strontium fluoride,232-000-3,
6928,f1416c13-6383-40dd-8e02-5f81b2043b58,Zinc fluoride,232-001-9,
6929,645f96c6-dc33-4de6-8276-281e176e0421,Nitrogen trifluoride,232-007-1,
6930,dc15f5fa-b33d-4842-bb9d-599ec928692f,Antimony trifluoride,232-009-2,
6931,e5f9c56e-2057-46b9-8883-a6563cecc2cb,Silicon tetrafluoride,232-015-5,
6932,d94ffa06-252b-4c78-ac53-9401dc5df306,Iodine pentafluoride,232-019-7,
6933,b85a9052-9aec-4a52-b71a-9eb70c878fc9,Tungsten hexafluoride,232-029-1,
6934,0f0e2b66-97d2-48c2-b1c6-bdd0b52abb12,Iron tris(phosphinate),232-030-7,
6935,498b6ee9-8200-43ec-9305-419dce7f6d73,Silver chloride,232-033-3,
6936,ad73151e-861d-4869-9db4-3e907b8e589c,Silver iodide,232-038-0,
6937,bcfd0533-f2b4-4d3e-884f-c33fb196861a,Aluminium fluoride,232-051-1,
6938,68bfd8b2-6470-4710-97b0-042e08fa1fc8,Aluminium ammonium bis(sulphate),232-055-3,
6939,93a67196-8782-4896-af96-c9a9d285eb67,Aluminium orthophosphate,232-056-9,
6940,96e7778f-a1bd-4fae-ab52-1cb8bc0af26e,Arsenic trichloride,232-059-5,
6941,845e8b47-57fa-4789-9cd8-4eb4b0ec72e1,Arsine,232-066-3,
6942,5e551c1f-a792-49da-970e-92aa947038ca,Ammonium magnesium orthophosphate,232-075-2,
6943,bd2a423a-23f7-4a80-bf61-9b18c4389752,Silver bromide,232-076-8,
6944,6f0b2db7-3a73-49c6-9674-eff3fb192042,"(1S,5S)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",232-077-3,
6945,a63124b6-e09d-4723-b9af-c9f1c1856ca0,"(1R,5R)-2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",232-087-8,
6946,03ab3520-5b66-45c5-8d08-d105b47824f3,Trisodium trimetaphosphate,232-088-3,Sodium Trimetaphosphate
6947,99214933-c0eb-4241-8914-e472122c35a2,Manganese sulphate,232-089-9,
6948,04f51e59-4584-4f13-98b9-2485a8bcd6fc,"2,2'-methylenebis(6-nonyl-p-cresol)",232-092-5,p-Cresol
6949,2a69121e-a95d-47e4-b085-2899d5745730,Magnesium chloride,232-094-6,
6951,a0f5a30f-93e6-44f8-86bc-fea416f9847e,5-methyl-2-(1-methylvinyl)cyclohexan-1-ol,232-102-8,
6953,276d07d6-7d5b-43b5-8d4e-87b584a853a3,Nickel sulphate,232-104-9,
6955,bbe3aa0e-4aef-4c27-bb31-f5c557476986,"1,3,3-trimethylnorbornan-2-one",232-107-5,
6956,12c81ac2-f87c-4fca-90e3-d92fed26853e,Barium fluoride,232-108-0,
6957,d1a6805a-5ef3-4dc6-80df-ef1cba4ab059,Barium selenate,232-113-8,
6958,840e4bbc-dd64-4c7d-ad1e-4c8fcfd4c098,Bismuth chloride oxide,232-122-7,
6959,6c45b85c-a6bc-4d12-b507-6b9dc37415ce,Copper bromide,232-131-6,
6960,47babd08-12c4-4a59-a3eb-c09d7eafd4fd,Dichloro(3-chloropropyl)methylsilane,232-136-3,
6961,786037b2-0f95-4150-81da-a521868057f4,Chromium trifluoride,232-137-9,
6962,3130dbcb-268b-44f1-8eac-2d9ef6805be7,Potassium chromate,232-140-5,
6963,4f68c5ec-f1ef-4aee-a6c2-4c53cc1dd967,Strontium chromate,232-142-6,
6964,0a4507b3-5228-4d65-a996-f59aa6cda25e,Ammonium dichromate,232-143-1,
6965,75a0f871-10ba-425b-a337-e5587a1250c0,Caesium iodide,232-145-2,
6966,3148467b-7a11-41d8-a7b9-eba3ca82a7bc,Caesium nitrate,232-146-8,
6967,b8cb8d24-0f8b-4bb1-9f13-45460a24943c,Deuterium oxide,232-148-9,
6968,84a4fd43-3134-4d50-8f66-d73b27cb410d,Fluorosulphuric acid,232-149-4,
6969,39e6f8ac-9f1a-4354-a7e5-8675f357361b,Potassium fluoride,232-151-5,
6971,6708cf20-8f85-492a-a812-b09746d8efaf,Lithium fluoride,232-152-0,
6973,30a177b9-8a9a-4e1b-867b-ea8f73179a2f,Potassium hydrogendifluoride,232-156-2,
6974,acd59a89-d88f-4835-98ec-3729c3dce0be,Sodium bromate,232-160-4,Sodium Bromate
6976,69122312-5714-4b36-b4ab-77f2369a9565,Calcium bromide,232-164-6,
6978,d0bcd63a-e723-412c-a51e-a4188f55e33b,Cobalt dibromide,232-166-7,
6979,407e2bf0-45c4-4edb-9c18-e32ebc95e9fe,Copper dibromide,232-167-2,
6980,29aaa586-d239-429a-be1a-95bf6a3aa250,Phosphoryl tribromide,232-177-7,
6981,61f119ff-4283-4786-bd39-d3e8252c314e,Phosphorus tribromide,232-178-2,
6983,082356a1-54f0-4031-b3a4-7c6cdea44edc,Calcium fluoride,232-188-7,
6984,b0371fff-b67d-4aee-86c8-32467d52a687,Calcium hydride,232-189-2,
6985,bd8dc287-07b6-49a7-91fd-700ede288c72,Calcium phosphinate,232-190-8,
6986,f3d012c4-a5bb-4f7d-9bfb-e08a647f4de1,Calcium iodate,232-191-3,
6987,638f9b2e-e0a4-47d1-b32b-e3553890769d,Calcium molybdate,232-192-9,
6988,93cc0eab-480b-4f62-88f0-620c74faabbd,Sodium periodate,232-197-6,
6989,f637b2d9-add0-4ef2-882c-a1bfb15efbdb,Dipotassium wolframate,232-215-2,
6990,68b02feb-ea2f-4995-a410-781eba3129d7,Dipotassium disulphate,232-216-8,
6991,9a2972d2-2ed8-4ba6-a71e-efd97bf6847b,Lithium nitrate,232-218-9,
6992,52360fcc-0b51-4038-9eea-bfcccee8aecd,Calcium wolframate,232-219-4,
6993,f1497c64-4da3-437d-b315-8400cc0bbf6c,Dicalcium pyrophosphate,232-221-5,Calcium Pyrophosphate
6995,352eea21-b656-4d67-85c7-2d7e8acc6f97,Cerium trichloride,232-227-8,
6996,5d5e9e3e-7815-45a1-96c6-922f6b94f881,Chlorosulphuric acid,232-234-6,
6999,2ecee5aa-d40b-4e34-828d-b5fee22051e2,Ammonium perchlorate,232-235-1,
7000,e9924006-7583-41c8-b259-2af26c0bb168,Iodine monochloride,232-236-7,
7001,b9ca39ae-e764-4238-8f51-d89d5925552a,Lithium perchlorate,232-237-2,
7002,9b76243b-4d9e-4ac5-8adf-4da784c22bad,Sulphuryl dichloride,232-245-6,
7003,2130df6b-8dfb-4659-b22f-5671169294ef,Tricopper bis(orthophosphate),232-254-5,
7004,e98b2413-9207-4114-9f2a-76cb82a08f04,Hydroxylamine,232-259-2,
7005,0d19c994-d497-493b-b98b-e133cda3dcb7,Phosphine,232-260-8,
7007,1e381026-92dd-4ad0-8f33-f24279c90efe,Ammonium trioxovanadate,232-261-3,
7008,90bd1d9a-efbb-4e6f-9447-f72aa88dac6c,Sulphuric diamide,232-262-9,
7009,0bf58516-8e6b-4b32-85bb-ed498dc22239,Silane,232-263-4,
7010,728e12e4-760c-4746-a5df-57590d7e7895,Ammonium hydrogensulphate,232-265-5,
7011,4a967802-3544-41db-8f4e-cc757b10b077,Ammonium phosphinate,232-266-0,
7012,bad1793f-87d3-45d0-8679-5c167519d609,"Castor oil, hydrogenated",232-292-2,
7013,e1a83300-9675-4a8d-8fae-d48dd201ea86,Tall oil [A complex combination of tall oil rosin and fatty acids derived from acidulation of crude tall oil soap and including that which is further refined. Contains at least 10% rosin.],232-304-6,
7014,c091419c-bc1b-4cbb-98b0-1726137bfaf2,"Castor oil, sulfated",232-306-7,
7015,058d7885-e23a-4c4f-85f3-aaaf70aabd7c,"Oils, menhaden [Extractives and their physically modified derivatives such as proteins, carbohydrates, lipids, nucleic acids, inorganic ions, etc. obtained from Brevoortia tyrannis.]",232-311-4,
7016,2be8abc4-0e75-4bc2-b76a-272096865c1a,Montan wax [Wax obtained by extraction of lignite.],232-313-5,Montan Wax
7017,4d743763-3372-4172-a527-75ddfbec4779,Paraffin waxes and Hydrocarbon waxes [A complex combination of hydrocarbons obtained from petroleum fractions by solvent crystallization (solvent deoiling) or by the sweating process. It consists predominantly of straight chain hydrocarbons having carbon numbers predominantly greater than C20.],232-315-6,Paraffin
7018,2ab51a22-b59c-4567-acb0-33fb86285adc,"1,3-isobenzofurandione, reaction products with methylquinoline and quinoline [This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 47000.]",232-318-2,
7019,ec9bb9e1-04be-4129-9738-f81917986df4,"Benzoic acid, 5-[(4-aminophenyl)azo]-2-hydroxy-, reaction products with 3-[(4-amino-3-methoxyphenyl)azo]benzenesulfonic acid and carbonic dichloride, sodium salts [This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 29000.]",232-339-7,Benzoic Acid
7020,b95bf227-d1b1-4a95-af63-89ae8e936532,"Bisbenzimidazobenzo[lmn][3,8]phenanthrolinedione [This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 71110.]",232-340-2,
7021,ac770576-64a6-4584-b43a-256ddbf90626,"Gasoline, natural [A complex combination of hydrocarbons separated from natural gas by processes such as refrigeration or absorption. It consists predominantly of saturated aliphatic hydrocarbons having carbon numbers predominantly in the range of C4 through C8 and boiling in the range of approximately minus 20°C to 120°C (-4°F to 248°F).]",232-349-1,
7022,935a300e-3c6f-4090-9a07-98de4895d0a3,"Turpentine, oil [Any of the volatile predominately terpenic fractions or distillates resulting from the solvent extraction of, gum collection from, or pulping of softwoods. Composed primarily of the C10H16 terpene hydrocarbons: α-pinene, β-pinene, limonene, 3-carene, camphene. May contain other acyclic, monocyclic, or bicyclic terpenes, oxygenated terpenes, and anethole. Exact composition varies with refining methods and the age, location, and species of the softwood source.]",232-350-7,
7023,38de23d4-f2f3-4301-b196-3e79565fa6d1,"Sorbitan, (Z)-9-octadecenoate (2:3)",232-360-1,
7024,72c864a7-19a7-4d6e-accb-bb59ed81d54d,Kerosine (petroleum) [A complex combination of hydrocarbons produced by the distillation of crude oil. It consists of hydrocarbons having carbon numbers predominantly in the range of C9 through C16 and boiling in the range of approximately 150°C to 290°C (320°F to 554°F).],232-366-4,
7025,d0d109e1-9ce8-4f5c-8706-4d097b8c917f,"Bile, extract [Extractives and their physically modified derivatives such as proteins, lipids, carbohydrates, nucleic acids, inorganic ions, etc. obtained from mammalian bile.]",232-369-0,
7026,1d36a8e2-d93d-4940-a5d1-1b189efa046d,Petrolatum [A complex combination of hydrocarbons obtained as a semi-solid from dewaxing paraffinic residual oil. It consists predominantly of saturated crystalline and liquid hydrocarbons having carbon numbers predominantly greater than C25.],232-373-2,Paraffin
7027,13dd4eeb-c0cb-4cc3-82ce-81f56db467e6,Superphosphates [Substance obtained by treating phosphate rock with sulfuric acid or a mixture of sulfuric and phosphoric acids. Composed primarily of calcium phosphates and calcium sulfate.],232-379-5,Phosphoric Acid
7028,0f81a29b-d545-41ce-ae12-3c7c844303bd,"2,7-naphthalenedisulfonic acid, 4-amino-5-hydroxy-, diazotized, coupled with diazotized 2-amino-4,6-dinitrophenol, diazotized 4-nitrobenzenamine and resorcinol, sodium salts [This substance is identified in the Colour Index by Colour Index Constitution Number, C.I. 34905.]",232-380-0,Resorcinol
7029,117a8b8f-5d79-453d-bfb1-df54696a6ce6,"Pyrochlore, antimony lead yellow",232-382-1,
7030,31c12661-5914-4893-88f9-f6999ac64bd9,Paraffin oils [Liquid hydrocarbons from petroleum.],232-384-2,Paraffin
7031,3949d2ad-b304-4c00-8269-f291c56168dd,"Soybean oil, epoxidized",232-391-0,
7032,7cb6b260-791a-4e55-99dc-ae782956aaf7,"Sugar, invert",232-393-1,
7033,42ccb51c-06a8-414d-afbb-46d1414dce3e,"Fusel oil [A combination of amyl alcohols, primarily isoamyl alcohol and 2-methyl-1-butanol. Other alcohols, acids, esters and aldehydes may also be present.]",232-395-2,
7035,9557cd96-ab27-4dce-84cf-b5592da7c9bf,"Linseed oil, epoxidized",232-401-3,
7036,e8b99fb5-b93c-4c1c-8bf1-284a867b1f57,"Tall-oil pitch [The residue from the distillation of tall oil. It contains primarily high-boiling esters of fatty acids and rosin. It may also contain neutral materials, free fatty acids and rosin acids.]",232-414-4,
7037,91b2242d-3e3b-4794-b770-4c85f5e46bde,Polyphosphoric acids,232-417-0,Phosphoric Acid
7039,5686a717-2e2d-4045-a6f5-90067cf99f86,"Alcohols, lanolin [A complex combination of organic alcohols obtained by the hydrolysis of lanolin.]",232-430-1,Lanolin
7040,99357523-4b1b-426b-afc6-0f39295d87f4,"Orange, sweet, ext. [Extractives and their physically modified derivatives such as tinctures, concretes, absolutes, essential oils, oleoresins, terpenes, terpene-free fractions, distillates, residues, etc., obtained from Citrus sinensis, Rutaceae.]",232-433-8,
